城市,就诊机构名称, 院边机构名称,院边机构本月是否可开
,,宁德蕉城蕉南林庆恩中医(综合)诊所,已覆盖
,,东侨叶树元西医内科诊所,已覆盖
南平,邵武市立医院,邵武康明医院,
,,邵武博爱医院,
,,天润综合门诊,
,,邵武张源芳中医诊所,
,,邵武何友金中医诊所,
,福建省南平市第一医院,南平市同道仁爱医院有限公司,已覆盖
,,延平昼锦门诊部,
,,延平三元益民门诊,
,,延平紫芝门诊部,
,,延平林永兴中医诊所,
,浦城县医院,浦城中山医院,已覆盖
,,浦城谢秀山医院,
,,浦城叶信兵诊所,
,,浦城连孝章诊所,
,,浦城胡闽飞中医诊所,
,,浦城池国锋诊所,
,建瓯市立医院,建瓯新创现代医院,已覆盖
,,建瓯中睿内科诊所,已覆盖
,,应陈泉中医内科诊所,已覆盖
,,建瓯市南雅镇房村村新区卫生室,已覆盖
,,建瓯市瓯宁社区卫生服务中心,已覆盖
,南平市建阳第一医院,南平市建阳区童游街道崇阳社区卫生服务站,
,,南平市建阳区潭城街道西桥社区卫生服务站,
,,建阳刘强西医内科诊所,
,,建阳朱培生中医(综合)诊所,
,,建阳文铁桥西医内科诊所,
,南平市第二医院,南平市建阳区潭城街道中南社区卫生服务站,
,,建阳黄万宾中医(综合)诊所,
,,建阳胡建中内科诊所,
,,建阳钟元璋西医内科诊所,
,,建阳西门四合春堂中医(综合)诊所,
,武夷山市立医院,武夷山第二医院,已覆盖
,,武夷山广济医院,已覆盖
,,武夷山杨振生诊所,
,,武夷山蔡利明诊所,
,,武夷山市综合农场北侧商业城卫生室,已覆盖
,福建省南平市人民医院,南平市同道仁爱医院有限公司,已覆盖
,,延平梅山中西医结合门诊,
,,延平高年资门诊部,
,,延平梅园门诊部,
,,延平博施内科诊所,
,顺昌县医院,顺昌县和勤社区卫生服务站,
,,顺昌县双溪街道富州社区卫生服务站,
,,顺昌余锋西医内科诊所,
,,顺昌县双溪街道余坊村卫生所,
,,顺昌陈志莹全科诊所,
,,顺昌林凉初西医内科诊所,
,政和县医院,政和县元峰庄社区卫生服务站,
,,政和县西门社区卫生服务站,
,,政和县东门社区卫生服务站,
,,政和县赵明富诊所,
,,政和县吴孙通中医诊所,
,光泽县医院,光泽仁康医院,已覆盖
,,光泽鸿辉诊所,
,,光泽誉远诊所,
,建瓯市中西医结合医院,建瓯市瓯宁社区卫生服务中心,已覆盖
,,建瓯九州医院,
,松溪县医院,松溪吴宜芳内科诊所,
,,松溪县松源镇北门村第五卫生所,
,,松溪县松源镇东门村第五卫生所,
泉州,南安市医院,泉州滨海医院有限公司,已覆盖
,,福建南安盐务局医院,已覆盖
,,泉州昌财医院,已覆盖
,,南安武荣医院,
,安溪县医院,泉州国宇医院有限公司,已覆盖
,,安溪乐康医院,
,,安溪伍兴医院,
,惠安县医院(惠安县总医院),惠安新惠兴老年病医院有限公司,已覆盖
,,泉州德诚医院,已覆盖
,,惠安施雄中西医结合医院有限公司,已覆盖
,,泉州颐和医院,
,,泉州台商投资区弘润医院,已覆盖
,安溪县中医院,安溪和兴医院有限公司,已覆盖
,,安溪一禾综合医院有限责任公司,已覆盖
,晋江市医院(上海市第六人民医院福建医院),晋江青鸟世嘉康复医院,已覆盖
,,晋江深沪福联中西医结合医院（普通合伙）,
,,晋江深沪浔兴医院,
,,晋江市梅岭街道双沟社区卫生服务站,
,永春县医院,永春美岭医院,
,,永春县五里街社区卫生服务中心仰贤社区卫生服务站,
,德化县医院,德化瓷都医院,已覆盖
,,德化家同医院,已覆盖
,石狮市医院,石狮仁德康复医院,已覆盖
,,石狮赛特医院,
,,石狮刘敬清内科诊所,
,泉州市中医院,鲤城明新华侨医院,已覆盖
,,泉州兴贤医院有限公司,已覆盖
,,泉州鲤城万翔微创医院,已覆盖
,泉州市泉港区总医院,泉州泉港前进中医医院有限公司,已覆盖
,,泉州泉港仁爱医院,已覆盖
,中国人民解放军联勤保障部队第九一〇医院,泉州洛江万鸿医院,已覆盖
,,泉州明州康复医院有限公司,已覆盖
,,泉州众成医院有限公司鲤城众成医院,
,晋江市安海医院,晋江安海广济医院,已覆盖
,,晋江青阳大远中医门诊部,
,,晋江市安海镇坑边村第一卫生所,
,晋江市中医院,泉州成功医院,
,,晋江江滨综合门诊部,
,,晋江青阳康健综合门诊部,
,,晋江陈埭熊瑞祥中西医结合诊所,
,泉州医学高等专科学校附属人民医院,泉州东南医院有限公司,已覆盖
,,泉州新里程医院,
,,泉州昊宇医院,
